sample,timestamp,voltage_setpoint_V,voltage_readback_V,centroid_x_um,centroid_y_um,peak_x_um,peak_y_um,peak_intensity_counts,total_power_mW
22,2026-06-25T15:35:02.276362,44.0,44.02,-577.1186932609999,98.15266738558421,-335.3999900817871,-1444.7999572753906,255.0,0.0008350606615499039
23,2026-06-25T15:35:03.841279,46.0,46.02,-573.07090895687,98.18612990900874,-335.3999900817871,-1444.7999572753906,255.0,0.0008350093188762592
24,2026-06-25T15:35:05.601250,48.0,46.02,-568.9502944546985,98.28376174205914,-335.3999900817871,-1444.7999572753906,255.0,0.0008350269217230256
25,2026-06-25T15:35:07.546921,50.0,50.02,-564.86432350619,98.34438796096947,-335.3999900817871,-1444.7999572753906,255.0,0.0008349953835524054
26,2026-06-25T15:35:09.225651,48.0,50.02,-564.4080521573778,98.97505810833536,-335.3999900817871,-1444.7999572753906,255.0,0.0008349832820124729
27,2026-06-25T15:35:10.748500,46.0,48.02,-566.7897964717122,98.6790131952148,-335.3999900817871,-1444.7999572753906,255.0,0.0008350074852677282
28,2026-06-25T15:35:12.318856,44.0,46.02,-569.0754836599808,98.11802383192116,-335.3999900817871,-1444.7999572753906,255.0,0.0008350580943412463
29,2026-06-25T15:35:14.233487,42.0,44.02,-571.3942396949278,98.1215669226367,-335.3999900817871,-1444.7999572753906,255.0,0.0008349770479542879
30,2026-06-25T15:35:15.929242,40.0,42.02,-573.9448713333695,98.33927016326925,-335.3999900817871,-1444.7999572753906,255.0,0.0008349972171343621
31,2026-06-25T15:35:17.595112,38.0,40.02,-576.3494488989818,98.22352919989498,-335.3999900817871,-1444.7999572753906,255.0,0.0008350129861054009
32,2026-06-25T15:35:19.574567,36.0,38.02,-579.3898144096602,98.78924268414266,-335.3999900817871,-1444.7999572753906,255.0,0.0008350778987267172
33,2026-06-25T15:35:21.346156,34.0,36.01,-582.1750773888198,98.08692336897366,-335.3999900817871,-1444.7999572753906,255.0,0.0008349704472375305
34,2026-06-25T15:35:22.997232,32.0,34.01,-585.0126993752201,98.49674086173763,-335.3999900817871,-1444.7999572753906,255.0,0.0008350364567532983
35,2026-06-25T15:35:24.535332,30.0,32.01,-587.4755410992657,98.5026460129302,-335.3999900817871,-1444.7999572753906,255.0,0.0008350100523207989
36,2026-06-25T15:35:26.115136,28.0,30.01,-590.9265114562004,98.42587904742686,-335.3999900817871,-1444.7999572753906,255.0,0.0008351072394203913
