sample,timestamp,voltage_setpoint_V,voltage_readback_V,centroid_x_um,centroid_y_um,gaussfit_center_x_um,gaussfit_center_y_um,peak_intensity_counts,total_power_mW
130,2026-07-01T15:11:09.225441,11.0,11.11,-356.7108933822601,113.87847868812969,-471.98416878207354,868.7638750663609,8.0,7.58255016744216e-06
131,2026-07-01T15:11:10.287013,10.9,11.02,-357.2451127268141,112.5427334883716,-450.7551502448041,863.1512256962014,8.0,7.58773361914438e-06
132,2026-07-01T15:11:11.248735,10.8,10.81,-357.1585038426565,114.57922329631401,-463.84135896427324,856.373686834122,7.0,7.575440347162283e-06
133,2026-07-01T15:11:12.189736,10.7,10.81,-357.1108689563698,113.41079071367858,-446.6368978031096,862.9449390812078,8.0,7.5789012242761494e-06
134,2026-07-01T15:11:13.110804,10.6,10.62,-359.4256882238551,113.93477446283214,-453.3597155974712,867.0096514854231,7.0,7.568623053120779e-06
135,2026-07-01T15:11:14.052425,10.5,10.52,-354.77675952832215,113.24269074306358,-481.72294412885094,847.7868096466409,8.0,7.588026876498168e-06
136,2026-07-01T15:11:14.983610,10.4,10.52,-356.18415389588336,112.98837556503713,-456.85084098251536,877.5153091337415,8.0,7.576711370273747e-06
137,2026-07-01T15:11:15.934676,10.3,10.32,-365.2576155416318,113.90328032313846,-452.3889087414136,890.0783214575495,8.0,7.564641933562808e-06
138,2026-07-01T15:11:16.846008,10.2,10.32,-357.7120133477729,113.90446135337697,-454.6769579901593,853.5766135525773,8.0,7.5846018044448706e-06
139,2026-07-01T15:11:17.777840,10.1,10.22,-353.8661852144287,112.82854280609172,-452.55543400504394,888.5953411547234,8.0,7.587753613603909e-06
140,2026-07-01T15:11:18.718690,10.0,10.12,-356.9459183997242,111.17824988614302,-477.15038872207515,867.5037158018677,8.0,7.575280652531915e-06
141,2026-07-01T15:11:19.850933,9.9,10.01,-358.6662857804913,112.71162081247894,-455.04504574782914,863.7047352013178,8.0,7.564867850891733e-06
142,2026-07-01T15:11:20.892651,9.8,9.92,-395.90692493802635,106.60726918635191,-457.2425493449555,888.5103069775505,8.0,7.478813488424529e-06
143,2026-07-01T15:11:22.113071,9.7,9.71,-397.4832066296949,108.32369979965733,-462.0564285971341,864.9487537192181,8.0,7.474767993187686e-06
144,2026-07-01T15:11:23.403091,9.6,9.71,-400.49562109139515,101.67174381960649,-465.7920272415504,870.8129625301808,7.0,7.460350757296198e-06
145,2026-07-01T15:11:24.444134,9.5,9.52,-405.6626283848891,103.9090087680961,-462.57450719509507,844.2850549894501,8.0,7.452818701521474e-06
