sample,timestamp,voltage_setpoint_V,voltage_readback_V,centroid_x_um,centroid_y_um,gaussfit_center_x_um,gaussfit_center_y_um,gaussfit_rating_x,gaussfit_rating_y,peak_intensity_counts,total_power_mW
28,2026-07-02T11:46:45.329050,101.0,101.57,-138.12817889876897,53.04361110233003,1583.1159199820831,430.7418054997106,0.9791918396949768,0.97400963306427,24.0,7.5845618321890855e-06
29,2026-07-02T11:46:45.753122,100.5,101.07,-138.02818500524154,53.51011804654263,1589.563164054125,431.2898035303806,0.977961540222168,0.9736023545265198,25.0,7.588246826951474e-06
30,2026-07-02T11:46:46.147003,100.0,100.56,-135.96728723903652,54.236057966481894,1587.034578313469,426.25704000733094,0.9791833162307739,0.9767622351646423,25.0,7.602417057360484e-06
31,2026-07-02T11:46:46.536170,99.5,100.07,-133.10801303159678,55.6733717667521,1588.6356616401463,426.2223964536679,0.9758207201957703,0.9728361964225769,26.0,7.616479946749708e-06
32,2026-07-02T11:46:46.949987,99.0,99.56,-129.7613670123974,56.10405412706314,1589.956840800296,424.6142269455595,0.9759654402732849,0.9752333164215088,26.0,7.629865126219512e-06
33,2026-07-02T11:46:47.337025,98.5,99.06,-128.8051261959481,58.48225535068195,1588.220726349682,424.0937862871215,0.9772062301635742,0.972626805305481,26.0,7.635121161057028e-06
34,2026-07-02T11:46:47.730003,98.0,98.56,-127.08593984541949,58.47398813901236,1591.027641549881,422.9910977210966,0.976789116859436,0.9737306237220764,26.0,7.63518822569852e-06
35,2026-07-02T11:46:48.133696,97.5,98.07,-126.1989861362963,54.72106771776453,1592.8865831453004,422.3730252296082,0.9786078333854675,0.9719898700714111,26.0,7.638897817530462e-06
36,2026-07-02T11:46:48.530192,97.0,97.57,-127.06153188715689,58.13542613730533,1588.0896319932071,420.64990211161785,0.9785302877426147,0.9745367765426636,26.0,7.637777371128684e-06
37,2026-07-02T11:46:48.934146,96.5,97.06,-131.12978738208767,56.98785842221696,1594.3774369830498,420.46251198044047,0.9776576161384583,0.9716405868530273,26.0,7.628370767171149e-06
38,2026-07-02T11:46:49.329600,96.0,96.56,-123.48379761795513,54.73602743411902,1590.8772570328438,419.031497008109,0.9764148592948914,0.9741809368133545,26.0,7.643925075293011e-06
39,2026-07-02T11:46:49.723102,95.5,96.07,-122.34134770056698,53.04518580931472,1589.535213005147,416.0808897955576,0.9775024652481079,0.975824773311615,26.0,7.644576377311213e-06
40,2026-07-02T11:46:50.143412,95.0,95.57,-128.8960655243136,53.82860253419494,1591.759486621013,416.11828908644384,0.9778429269790649,0.9729380011558533,26.0,7.631540764683548e-06
41,2026-07-02T11:46:50.527305,95.5,95.07,-125.83837823680369,57.270518325967714,1584.821721323242,417.5496977355215,0.9825307130813599,0.9739235639572144,25.0,7.638850849410969e-06
42,2026-07-02T11:46:50.952570,96.0,95.57,-126.54187858221121,55.45055072841933,1595.1163682356128,420.021594024729,0.977891206741333,0.9732531309127808,26.0,7.629396013383564e-06
43,2026-07-02T11:46:51.355278,96.5,96.07,-129.10589523002272,53.51444849075051,1593.1050737394253,418.7641904974589,0.9768825173377991,0.9746756553649902,26.0,7.623387219734711e-06
44,2026-07-02T11:46:51.772406,97.0,96.56,-135.49684352736222,53.10817408870207,1594.203038184496,418.51696150086354,0.9757928848266602,0.9744137525558472,26.0,7.610802202369042e-06
45,2026-07-02T11:46:52.162725,97.5,97.06,-132.96471469599055,53.38768457848346,1592.6755724093528,418.52798444975633,0.9753250479698181,0.9730674028396606,26.0,7.609705929238318e-06
46,2026-07-02T11:46:52.556643,98.0,97.57,-125.4639916511951,55.15293110831408,1593.5806352487998,421.24238561460515,0.9788899421691895,0.9703595638275146,26.0,7.634336548515203e-06
47,2026-07-02T11:46:52.961055,98.5,98.07,-126.628881143115,55.34347065346083,1589.9714068399044,422.584429642302,0.9816122651100159,0.974763035774231,25.0,7.627941946880381e-06
48,2026-07-02T11:46:53.359824,99.0,98.56,-134.54414580162847,56.3418348817504,1587.9801898577716,421.016415162303,0.9793301224708557,0.9748246669769287,25.0,7.617463449192174e-06
49,2026-07-02T11:46:53.801324,99.5,99.06,-128.78977280284744,56.76858047459973,1589.058470465534,423.625310959178,0.9795954823493958,0.9738633632659912,26.0,7.624364917111275e-06
50,2026-07-02T11:46:54.198937,100.0,100.07,-132.27853612741455,57.74017468414968,1593.6829912028043,424.37762722111074,0.9758328199386597,0.9739072918891907,26.0,7.622643985760055e-06
51,2026-07-02T11:46:54.609234,100.5,100.56,-120.83553414646303,58.28659800783498,1593.608586297778,424.83193018619204,0.9772713780403137,0.9733573794364929,26.0,7.65483666439549e-06
52,2026-07-02T11:46:55.008286,101.0,101.07,-119.3647578227683,56.513871619827114,1588.4057544203824,427.66876481910003,0.9794826507568359,0.9740206003189087,26.0,7.65678007541704e-06
53,2026-07-02T11:46:55.439857,101.5,101.07,-124.44515623210464,59.87744573911186,1591.9157762892428,427.0058131785481,0.9774070382118225,0.973482072353363,26.0,7.658723979832073e-06
54,2026-07-02T11:46:55.829072,102.0,101.57,-118.44237320648972,55.93477312620962,1590.373744474491,427.1156489907298,0.9777529835700989,0.9737458825111389,26.0,7.664868346361007e-06
55,2026-07-02T11:46:56.242002,102.5,102.07,-122.35670109366765,60.40812199295033,1591.1831438646186,428.0203181534307,0.9767146706581116,0.9735071063041687,26.0,7.661516262873367e-06
56,2026-07-02T11:46:56.672931,103.0,102.56,-112.86712312721647,58.018897820438724,1587.1495319233509,429.8981562326662,0.979637086391449,0.9733515381813049,26.0,7.68777977230149e-06
57,2026-07-02T11:46:57.057359,103.5,103.06,-118.57189285597997,60.77935916458955,1594.0313951231656,430.2945887160604,0.9765767455101013,0.9738746285438538,27.0,7.67501429633617e-06
58,2026-07-02T11:46:57.437731,104.0,103.57,-115.57758752460359,61.200199606246315,1587.8876758224214,432.57043398567475,0.9765155911445618,0.9740056395530701,26.0,7.685187177267494e-06
59,2026-07-02T11:46:57.844772,104.5,104.07,-121.45085090072826,59.959330502315424,1586.6534992231755,436.8292290257523,0.980474591255188,0.9738479256629944,26.0,7.670438199231434e-06
60,2026-07-02T11:46:58.219010,105.0,104.56,-113.04939546069363,60.976197537675034,1589.6493792615365,435.99187858664664,0.9774278402328491,0.9731998443603516,27.0,7.690710997676896e-06
61,2026-07-02T11:46:58.662918,104.5,105.06,-116.0397640246083,59.34873786900425,1587.6695789050427,438.83816146146273,0.9799927473068237,0.9740582704544067,26.0,7.685139924535714e-06
